files,title,id,authors
"P81-1013.pdf,P81-1013.bib",A GRAMMAR AND A LEXICON FOR A TEXT-PRODUCTION SYSTEM,P81-1013,Christian M.I.M. Matthiessen
"P81-1014.pdf,P81-1014.bib",Language Production: the Source of the Dictionary,P81-1014,David D. McDonald
"P81-1015.pdf,P81-1015.bib",Analogies in Spontaneous Discourse,P81-1015,Rachel Reichman
"P81-1016.pdf,P81-1016.bib",INVESTIGATION OF PROCESSING STRATEGIES FOR THE STRUCTURAL ANALYSIS OF ARGUMENTS,P81-1016,Robin Cohen
"P81-1017.pdf,P81-1017.bib",What's Necessary to Hide?: Modeling Action Verbs,P81-1017,James F. Allen
"P81-1018.pdf,P81-1018.bib",A Rule-based Conversation Participant,P81-1018,Robert E. Frederking
"P81-1019.pdf,P81-1019.bib",SEARCH AND INFERENCE STRATEGIES IN PRONOUN RESOLUTION: AN EXPERIMENTAL STUDY,P81-1019,Kate Ehrlich
"P81-1020.pdf,P81-1020.bib",PERSPECTIVES ON PARSING ISSUES,P81-1020,Jane J. Robinson
"P81-1021.pdf,P81-1021.bib",S0ME ISSUES IN PARSING AND NATURAL LANGUAGE UNDERSTANDING,P81-1021,"Robert J. Bobrow,Bonnie L. Webber"
"P81-1022.pdf,P81-1022.bib",PARSING,P81-1022,Ralph Grishman
"P81-1023.pdf,P81-1023.bib",A View of Parsing,P81-1023,Ronald M. Kaplan
"P81-1024.pdf,P81-1024.bib",PERSPECTIVES ON PARSING ISSUES,P81-1024,Christopher K. Riesbeck
"P81-1025.pdf,P81-1025.bib",PRESUPPOSITION AND IMPLICATURE IN MODEL-THEORETIC PRAGMATICS,P81-1025,Douglas B. Moran
"P81-1026.pdf,P81-1026.bib",SOME COMPUTATIONAL ASPECTS OF SITUATION SEMANTICS,P81-1026,Jon Barwise
"P81-1027.pdf,P81-1027.bib",A SITUATION SEMANTICS APPROACH TO THE ANALYSIS OF SPEECH ACTS',P81-1027,David Andreoff
"P81-1028.pdf,P81-1028.bib",PROBLEMS IN LOGICAL FORM,P81-1028,Robert C. Moore
P86-1000.pdf,Front Matter,P86-1000,
"P86-1001.pdf,P86-1001.bib",TUTORIAL ABSTRACTS,P86-1001,Ralph Grishman
"P86-1002.pdf,P86-1002.bib",BRINGING NATURAL LANGUAGE PROCESSING TO THE MICROCOMPUTER MARKET: THE STORY OF Q&A,P86-1002,Gary G. Hendrix
"P86-1003.pdf,P86-1003.bib",Time and Tense in English,P86-1003,"Mary P. Harper,Eugene Charniak"
"P86-1004.pdf,P86-1004.bib",RECOVERING IMPLICIT INFORMATION,P86-1004,"Martha S. Palmer,Deborah A. Dahl,Rebecca J. Schiffman,Lynette Hirschman,Marcia Linebarger,John Dowding"
"P86-1005.pdf,P86-1005.bib","Semantic Acquisition In TELI: A Transportable, User-Customized Natural Language Processor",P86-1005,"Bruce W. Ballard,Douglas E. Stumberger"
"P86-1006.pdf,P86-1006.bib",COMPUTATIONAL COMPLEXITY OF CURRENT GPSG THEORY,P86-1006,Eric Sven Ristad
"P86-1007.pdf,P86-1007.bib",DEFINING NATURAL LANGUAGE GRAMMARS IN GPSG,P86-1007,Eric Sven Ristad
"P86-1008.pdf,P86-1008.bib",CONSTRAINT PROPAGATION IN KIMMO SYSTEMS,P86-1008,G. Edward Barton
"P86-1009.pdf,P86-1009.bib",COMPUTATIONAL COMPLEXITY IN TWO-LEVEL MORPHOLOGY,P86-1009,G. Edward Barton
"P86-1010.pdf,P86-1010.bib",PARSING A FREE-WORD ORDER LANGUAGE: WARLPIRI,P86-1010,Michael B. Kashket
"P86-1011.pdf,P86-1011.bib",The Relationship Between Tree Adjoining Grammars And Head Grammarst,P86-1011,"D. J. Weir,K. Vijay-Shanker,A. K. Joshi"
"P86-1012.pdf,P86-1012.bib",CATEGORIAL AND NON-CATEGORIAL LANGUAGES,P86-1012,"Joyce Friedman,Ramarathnam Venkatesan"
"P86-1013.pdf,P86-1013.bib",PARSING CONJUNCTIONS DETERMINISTICALLY,P86-1013,Donald W. Kosy
"P86-1014.pdf,P86-1014.bib","COPYING IN NATURAL LANGUAGES, CONTEXT-FREENESS, AND QUEUE GRAMMARS",P86-1014,Alexis Manaster-Ramer
"P86-1015.pdf,P86-1015.bib",A MODEL OF REVISION IN NATURAL LANGUAGE GENERATION,P86-1015,"Marie M. Vaughan,David D. McDonald"
"P86-1016.pdf,P86-1016.bib",The ROMPER System: Responding to Object-Related Misconceptions using Perspective,P86-1016,Kathleen F. McCoy
"P86-1017.pdf,P86-1017.bib",Encoding and Acquiring Meanings for Figurative Phrases,P86-1017,"Michael G. Dyer,Uri Zernik"
"P86-1018.pdf,P86-1018.bib",SEMANTICALLY SIGNIFICANT PATTERNS IN DICTIONARY DEFINITIONS,P86-1018,"Judith Markowitz,Thomas Ahlswede,Martha Evens"
"P86-1019.pdf,P86-1019.bib",COMPUTER METHODS FOR MORPHOLOGICAL ANALYSIS,P86-1019,"Roy J. Byrd,Judith L. Klavans,Mark Aronoff,Frank Anshen"
"P86-1020.pdf,P86-1020.bib",BULK PROCESSING OF TEXT ON A MASSIVELY PARALLEL COMPUTER,P86-1020,Gary W. Sabot
"P86-1021.pdf,P86-1021.bib",THE INTONATIONAL STRUCTURING OF DISCOURSE,P86-1021,"Julia Hirschberg,Janet Pierrehumbert"
